id,email,name,description,phone,url,website,logo_url,hero_url,video_vimeo,video_youtube,location,address,city,state,zip,country,created_at,jobs_count,approval_notes,approved_employer,industry_sector,relationship_to_the_vector_institute
ebb807aa-015d-420d-a4ad-ae6ffe4dc16c,alexander@16bit.ai,16 Bit,"<p>16 Bit’s vision is to create and validate paradigm shifting AI tools to drastically improve the quality and accessibility of healthcare for all human beings. Founded by physicians with computer science and engineering backgrounds, 16 Bit is now focused on launching and scaling its two Health Canada approved products, PhysisTM and RhoTM. PhysisTM is a SaaS offering which aids physicians in measuring skeletal maturity for the purposes of managing children with various diseases. PhysisTM is based on 16 Bit’s first place submission to the inaugural RSNA 2017 machine learning challenge. RhoTM is an enterprise software which is poised to revolutionize the screening of patients with osteoporosis. RhoTM was designated an FDA breakthrough device in 2021. </p>
<p></p>
<p>We are a lean passionate team with a diverse set of backgrounds. We value evidence-based decision making, creativity, grit, and reliability.</p>",4169029661,https://talenthub.vectorinstitute.ai/employers/1349671-16-bit,,https://talenthub.vectorinstitute.ai/assets/main/employer/fallback/default-fa2f9950be6d195ce129d791e68531fbaf632949d1549f523363dbe7944dfaea.png,,,,"Toronto, ON, Canada",,Toronto,Ontario,,Canada,2022-08-02 17:04:55 UTC,0,FastLane member,Yes,Health,SME Organization
4e84b2c1-f68a-42c2-bb1b-7c7100c64a40,hrxpress@407etr.com,407etr,,,https://talenthub.vectorinstitute.ai/employers/914790-407etr,http://www.407etr.com,https://talenthub.vectorinstitute.ai/assets/main/employer/fallback/default-fa2f9950be6d195ce129d791e68531fbaf632949d1549f523363dbe7944dfaea.png,,,,,6300 Steeles Ave West,,,,,2021-09-08 13:35:49 UTC,0,,No,Construction or Infrastructure,Not Affiliated
429963d9-4070-44ae-892c-5d377c66fe22,azar@aivali.org,A.I. VALI Inc.,,,https://talenthub.vectorinstitute.ai/employers/1160447-a-i-vali-inc,https://www.ai-vali.com/,https://talenthub.vectorinstitute.ai/assets/main/employer/fallback/default-fa2f9950be6d195ce129d791e68531fbaf632949d1549f523363dbe7944dfaea.png,,,,,,,,,,2022-04-13 20:55:52 UTC,0,Attended SME Webinar 1,Yes,Health,SME Organization
c0a3d7bf-ab16-430e-831f-dbf8f1d0b9bf,jamesfinn2435@gmail.com,acadecraft,"<p>Acadecraft is the best <a href=""https://www.acadecraft.co.uk/early-education/copyediting-services/"" rel=""noopener noreferrer nofollow""><strong>copy-editing services</strong></a> provider in the UK. We have editors with experience and skills. They work hard to make sure every line is meticulously checked. Our team of editors believes in providing 100% error-free content. To achieve our target, we make sure we follow the requirements of the clients. Try us, you won't regret it! </p>",,https://talenthub.vectorinstitute.ai/employers/887335-acadecraft,https://www.acadecraft.co.uk/early-education/copyediting-services/,https://talenthub.vectorinstitute.ai/assets/main/employer/fallback/default-fa2f9950be6d195ce129d791e68531fbaf632949d1549f523363dbe7944dfaea.png,,,,,,,,,,2021-08-11 06:18:25 UTC,0,,No,Education,Not Affiliated
6463c204-5733-4c74-832f-d89db38ce6a7,currytom23@gmail.com,Acadecraft UK,"<p>Tom Curry is possessed with a deep understanding of <a href=""https://www.acadecraft.co.uk/learning-solutions/distance-elearning-solutions/"" rel=""noopener noreferrer nofollow"">online distance learning</a>. Along with his lectureship, he works as a part-time subject matter expert. He is well-versed in the academic, corporate, and eLearning domain.</p>",,https://talenthub.vectorinstitute.ai/employers/845507-acadecraft-uk,https://www.acadecraft.co.uk/learning-solutions/instructor-led-training-content-providers/,https://talenthub.vectorinstitute.ai/assets/main/employer/fallback/default-fa2f9950be6d195ce129d791e68531fbaf632949d1549f523363dbe7944dfaea.png,,,,,,,,,,2021-07-06 06:18:39 UTC,0,350+ employees on Linkedin. Based in India.,No,Education,Not Affiliated
6520ad17-5d2e-4b0a-a9d3-3dbbb9b35666,info@accenture.com,Accenture,"<p>Artificial intelligence is the talk of the town. And while AI can be a game-changing
technology, it isn’t a “silver-bullet” solution as some would suggest. Rather, we
believe real digital transformation happens when we combine AI with analytics,
automation, and a bold vision on how to apply these technologies together at
scale. That’s what the Applied Intelligence approach is all about.<br></p>
<p>We help you collect, interpret and enhance data that may have been previously
hidden or out of reach, generating near real-time insights. Our cross-
disciplinary teams of industry-specific experts use this intelligence to discover
new opportunities and reimagine your products and services, opening up
new revenue streams. At the same time, we create policies and processes that
ensure AI is responsible and benefits all parties impacted – all while ensuring
innovation isn’t hampered. And we make sure to empower and train your people
to work alongside these technologies to make faster, more informed decisions
that are less transactional and more strategic. </p>
<p>While we have proven, ready-to-
go industrialized solutions, we know that no two clients are alike. Therefore,
our team of more than 6,000 experts in AI and data science spanning over 125
countries will customize the right solutions for your needs. Our flexibility to work
with almost any technology partner also allows us to help you get the most out of
your existing analytics and AI investments.</p>
<h2>Perks & Benefits</h2>
<figure><img src=""https://static.jobboard.io/uploads/wysiwyg/f29dd3e9-495a-4909-bf98-1a92abecc1d2_bulb-light.png"" width=""64"" height=""64"" class=""img-responsive""></figure>
<p><strong><u><em></em>Innovation</u></strong> - Growing customer expectations. Market-shaping AI. Self-optimizing systems. The post-digital age shows no signs of slowing down, and the need for rapid business transformation has never been greater. We meet clients wherever they are on their paths to change—in every industry across the globe—and partner with them to create lasting value.<br><br></p>
<figure><img src=""https://static.jobboard.io/uploads/wysiwyg/77e0fd26-c92f-421c-9e9e-70c1a89b73e9_teamwork-together.png"" width=""64"" height=""64"" class=""img-responsive""></figure>
<p><strong><u>Commitment to diversity and inclusion</u></strong> - Accenture’s commitment to our people and to accelerating equality for all has never been more relevant than it is today – to drive our innovation agenda and act as responsible business leaders. It enables us to attract, develop, inspire and reward top talent.</p>
<p></p>
<figure><img src=""https://static.jobboard.io/uploads/wysiwyg/af605343-8ccd-4e76-b41e-c4ec502859d7_conference-education.png"" width=""64"" height=""64"" class=""img-responsive""></figure>
<p><strong><u>Professional training & development</u></strong> - We are at our best when you are at your best. We offer unique learning experiences for the next generation of forward thinkers.</p>
<p></p>
<h3>Follow Us:</h3>
<figure style=""display:block;margin:0px 0px 1em;padding:0px;clear:both;color:rgb(51, 51, 51);""><a href=""https://twitter.com/AccentureCanada"" target=""_blank"" rel=""noopener noreferrer nofollow""><img src=""https://static.jobboard.io/uploads/wysiwyg/db01b33d-0cb8-4005-a9bf-9b902c214199_Twitter_Icon.png"" class=""img-responsive"" width=""50"" height=""50""></a></figure>
<figure style=""display:block;margin:0px 0px 1em;padding:0px;clear:both;color:rgb(51, 51, 51);""><a href=""https://www.linkedin.com/company/accenture/"" target=""_blank"" rel=""noopener noreferrer nofollow""><img src=""https://static.jobboard.io/uploads/wysiwyg/8cf85796-37b1-4c16-9d8a-44c58d47fe47_Linkedin_Icon.png"" class=""img-responsive"" width=""50"" height=""50""></a></figure>
<figure style=""display:block;margin:0px 0px 1em;padding:0px;clear:both;color:rgb(51, 51, 51);""><a href=""https://www.youtube.com/accenture"" target=""_blank"" rel=""noopener noreferrer nofollow""><img src=""https://static.jobboard.io/uploads/wysiwyg/d78d6f46-9974-4416-b562-60c627299a4a_Youtube_Icon.png"" class=""img-responsive"" width=""50"" height=""50""></a></figure>
<figure><a href=""https://www.glassdoor.ca/Reviews/Accenture-Canada-Reviews-EI_IE4138.0,9_IL.10,16_IN3.htm?filter.iso3Language=eng&filter.defaultEmploymentStatuses=true&filter.defaultLocation=true"" target=""_blank"" rel=""noopener noreferrer nofollow""><img src=""https://static.jobboard.io/uploads/wysiwyg/fd65fa7e-46fe-47ee-94df-651b58224a78_glassdoor-socialicon-rgb.jpg"" class=""img-responsive"" width=""50"" height=""50""></a></figure>",1 (416) 641-5290,https://talenthub.vectorinstitute.ai/employers/294575-accenture,https://www.accenture.com/ca-en/careers,https://talenthub.vectorinstitute.ai/uploads/employer/logo/294575/Acc_Logo_Black_Purple_RGB.PNG,https://talenthub.vectorinstitute.ai/uploads/employer/hero/294575/Co-working_space.PNG,,F3CrdFBYWSs,"Toronto, ON, Canada","40 King St. West, ",Toronto,Ontario,,Canada,2019-09-25 21:22:36 UTC,2,,Yes,Professional Services (e.g Consulting),Platinum Industry Sponsor
945023b8-a127-4842-bda7-c41079e5c079,alowndes@acerta.ca,Acerta Analytics Solutions,"<p>Acerta’s machine learning platforms leverage automotive assembly and vehicle data to detect the earliest indicators of future product failures. We help automakers optimize quality, safety, and reliability throughout the entire product life cycle, from the assembly line to the finish line.</p>",4162754288,https://talenthub.vectorinstitute.ai/employers/652028-acerta-analytics-solutions,,https://talenthub.vectorinstitute.ai/uploads/employer/logo/652028/Acerta_logo-black.png,,,,"Kitchener, Ontario, Canada","30 Duke Street West, Suite 605",Kitchener,Ontario,,Canada,2020-12-24 13:36:52 UTC,0,,Yes,Technology (Information and Media),Startup
3fc8e0cf-ac91-4b8f-969c-93976ed39598,evan.ries@achievers.com,Achievers,"<p>Achievers delivers an Employee Success Platform™ that enables social recognition, which dramatically increases employee engagement and drives business success.  Designed specifically to meet the needs of today’s workplace, it empowers employees to recognize each other in real time and aligns them to the goals of the company.  With more than 5,000,000 annual recognitions, the Platform inspires brilliant performance in 110 countries. Visit us at  <a href=""http://www.achievers.com/"" rel=""noopener noreferrer nofollow"">www.achievers.com</a> to learn more and join us in our mission to change the way the world works.</p>",888-622-3343,https://talenthub.vectorinstitute.ai/employers/710416-achievers,https://www.achievers.com,https://talenthub.vectorinstitute.ai/uploads/employer/logo/710416/Achievers_Logo_CMYK_A.jpg,,,,"Toronto, ON, Canada",99 Atlantic Ave.,Toronto,Ontario,,Canada,2021-02-24 19:59:49 UTC,0,Too large - over 600 employees,No,Technology (Information and Media),Not Affiliated
addb80de-21d1-4590-90b5-56e65aefaaa0,info@ada.cx,Ada,"<p>Ada is an AI platform designed for non-technical teams to build and deploy chatbots that can automate answers and actions to customer interactions. Our product currently consists of two main attributes - a chat window for customers to interact with that can be deployed on a website or within a mobile app, and a management console that allows customer interaction teams to create, manage, and analyze all of their chatbot content and conversations. Ada has built its own machine learning API that is used in order to deliver automated answers to millions of end users, and perform other intelligent operations. Our clients include Zoom, Upwork, AirAsia, Mailchimp, and many more.<a href=""https://ada.support/"" rel=""noopener noreferrer nofollow""></a> <br><br></p>
",,https://talenthub.vectorinstitute.ai/employers/298879-ada,https://www.ada.support/careers,https://talenthub.vectorinstitute.ai/uploads/employer/logo/298879/ada-logo_1_.png,,,,,,,,,,2019-10-09 18:52:29 UTC,0,,Yes,Technology (Product Development),Bronze Industry Sponsor
9e164514-2cf2-47ae-a3d6-0eb6d396881c,raymond@aerovect.com,AeroVect,"<p>At AeroVect, we automate baggage and cargo logistics at some of the busiest passenger airports and air freight hubs in the world. Backed by top-tier investors, AeroVect is shaping the future of airport automation, beginning with self-driving tow tractors.</p>
<p>If you have a passion for applying autonomous driving technologies to impact the flow of goods for millions of people, we want to talk to you!</p>",,https://talenthub.vectorinstitute.ai/employers/582486-aerovect,https://aerovect.com,https://talenthub.vectorinstitute.ai/uploads/employer/logo/582486/logo-white-bg.png,https://talenthub.vectorinstitute.ai/uploads/employer/hero/582486/lidar_closeup.png,,,"Toronto, ON, Canada",264 Queens Quay West Suite # 346,Toronto,Ontario,,Canada,2020-09-05 21:07:24 UTC,0,,No,Transportation,Not Affiliated
